"fileid"	"votetitle"	"fulltitle"	"policyarea"	"docref"	"dossiercommittee"	"epref"	"legalbasis"	"reporterinfo"	"reporterid"	"date"	"votescount"	"for"	"against"	"abstain"	
"2439"	"B7-0523/2011 - Résolution"	"Resolution on human rights, sexual orientation and gender identity at the United Nations"	""	"RSP/2011/2821"	""	"B7-0523/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=0&key=0"	"0"	"2011-09-28"	"586"	"442"	"104"	"40"	
"1727"	"A7-0134/2011 - Jorgo Chatzimarkakis - Décision 4"	"2009 discharge: EU general budget, Section III, Commission"	"Budgetary Control"	"DEC/2010/2142"	"CONT/7/03660"	"A7-0134/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=140&key=0"	"140"	"2011-05-10"	"651"	"536"	"104"	"11"	
"1822"	"B7-0291/2011 - Am 10/2"	"Free Trade Agreement with India"	""	"RSP/2011/2620"	""	"B7-0291/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=0&key=0"	"0"	"2011-05-11"	"652"	"274"	"368"	"10"	
"1663"	"A7-0017/2011 - João Ferreira - Am 14"	"Common Fisheries Policy CFP: Community financial measures for the implementation of the CFP and in the area of the Law of the Sea (amend. Regulation (EC) No 861/2006)"	"Fisheries"	"COD/2010/0080"	"PECH/7/02824"	"A7-0017/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=599&key=0"	"599"	"2011-04-06"	"669"	"75"	"529"	"65"	
"1703"	"A7-0118/2011 - Georgios Stavrakakis - Vote unique"	"2009 discharge: Community Fisheries Control Agency CFCA"	"Budgetary Control"	"DEC/2010/2184"	"CONT/7/04067"	"A7-0118/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=559&key=0"	"559"	"2011-05-10"	"610"	"509"	"66"	"35"	
"1460"	"RC-B7-0073/2011 - Am 4"	"Waste crisis in Campania, Italy"	""	"RSP/2010/2963"	""	"RC-B7-0073/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=0&key=0"	"0"	"2011-02-03"	"634"	"242"	"359"	"33"	
"1452"	"RC-B7-0073/2011 - Am 13"	"Waste crisis in Campania, Italy"	""	"RSP/2010/2963"	""	"RC-B7-0073/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=0&key=0"	"0"	"2011-02-03"	"637"	"233"	"373"	"31"	
"2191"	"A7-0178/2011 - Corien Wortmann-Kool - Am 2 PC (Article 5, § 1, sous-§ 4 - règl. 1466/97)"	"Economic and Monetary Union EMU: strengthening of the surveillance of budgetary positions and the surveillance and coordination of economic policies (amend. Regulation (EC) No 1466/97)"	"Economic and Monetary Affairs"	"COD/2010/0280"	"ECON/7/04121"	"A7-0178/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=372&key=0"	"372"	"2011-06-23"	"660"	"366"	"271"	"23"	
"2586"	"Projet de budget général de l'Union européenne - Exercice 2012 - Bloc 14"	""	"Budgets"	""	""	""	""	"&key=0"	""	"2011-10-26"	"667"	"540"	"39"	"88"	
"2602"	"A7-0354/2011 - Francesca Balzani et José Manuel Fernandes - § 35/1"	"2012 budget: all sections"	"Budgets"	"BUD/2011/2020"	"BUDG/7/05117"	"A7-0354/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=252&key=0"	"252"	"2011-10-26"	"669"	"521"	"79"	"69"	
"2645"	"A7-0188/2011 - Mariya Nedelcheva - Résolution législative"	"Agricultural statistics: permanent crops (repeal. Regulation (EEC) No 357/79 and Directive 2001/109/EC)"	"Agriculture and Rural Development"	"COD/2010/0133"	"AGRI/7/03015"	"A7-0188/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=327&key=0"	"327"	"2011-11-15"	"634"	"610"	"15"	"9"	
"2144"	"A7-0183/2011 - Elisa Ferreira - Am 2/3"	"Economic and Monetary Union EMU: prevention and correction of macroeconomic imbalances"	"Economic and Monetary Affairs"	"COD/2010/0281"	"ECON/7/04124"	"A7-0183/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=694&key=0"	"694"	"2011-06-23"	"670"	"561"	"85"	"24"	
"2572"	"Projet de budget général de l'Union européenne - Exercice 2012 - Bloc 6"	""	"Budgets"	""	""	""	""	"&key=0"	""	"2011-10-26"	"678"	"565"	"102"	"11"	
"2372"	"A7-0252/2011 - Paolo De Castro - Vote unique"	"Common agricultural policy CAP: obsolete acts (repeal. Regulations (EEC) No 2052/69, (EEC) No 1467/70, (EEC) No 3279/75, (EEC) No 1078/77, (EEC) No 1853/78, (EEC) No 2580/78, (EEC) No 1/81, (EEC) No 1946/81, (EEC) No 2989/82, (EEC) No 3033/83, (EEC) No 56"	"Agriculture and Rural Development"	"COD/2010/0368"	"AGRI/7/04933"	"A7-0252/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=691&key=0"	"691"	"2011-09-13"	"623"	"612"	"2"	"9"	
"2706"	"A7-0353/2011 - Reimer Böge - Résolution"	""	"Budgets"	""	""	"A7-0353/2011"	""	"&key=0"	""	"2011-12-01"	"593"	"524"	"59"	"10"	
"1912"	"A7-0193/2011 - Salvador Garriga Polledo - Am 13"	"Investing in the future: a new Multiannual Financial Framework (MFF) for a competitive, sustainable and inclusive Europe"	"EU policy challenges and budgetary resources after 2013"	"INI/2010/2211"	"SURE/7/03833"	"A7-0193/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=476&key=0"	"476"	"2011-06-08"	"670"	"82"	"566"	"22"	
"2258"	"A7-0170/2011 - Corinne Lepage - Am 41"	"Genetically modified organisms GMOs: possibility for the Member States to restrict or prohibit the cultivation of GMOs in their territory (amend. Directive 2001/18/EC)"	"Environment, Public Health and Food Safety"	"COD/2010/0208"	"ENVI/7/03483"	"A7-0170/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=161&key=0"	"161"	"2011-07-05"	"664"	"424"	"231"	"9"	
"2269"	"A7-0219/2011 - Bas Eickhout - § 37"	"Analysis of options to move beyond 20% greenhouse gas emission reductions and assessing the risk of carbon leakage"	"Environment, Public Health and Food Safety"	"INI/2011/2012"	"ENVI/7/03759"	"A7-0219/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=113&key=0"	"113"	"2011-07-05"	"667"	"549"	"103"	"15"	
"1730"	"A7-0134/2011 - Jorgo Chatzimarkakis - Décision 7"	"2009 discharge: EU general budget, Section III, Commission"	"Budgetary Control"	"DEC/2010/2142"	"CONT/7/03660"	"A7-0134/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=140&key=0"	"140"	"2011-05-10"	"656"	"541"	"103"	"12"	
"2614"	"A7-0325/2011 - Ingeborg Gräßle et Crescenzio Rivellini - Am 54PC/1"	"Financial Regulation and Implementing Rules applicable to the annual budget of the Union (repeal. Regulation (EC, Euratom) No 1605/2002)"	"Budgets"	"COD/2010/0395"	"BUDG/7/04994"	"A7-0325/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=500&key=0"	"500"	"2011-10-26"	"666"	"611"	"26"	"29"	
"1418"	"B7-0022/2011 - Résolution"	"Interim Partnership Agreement between the EC and the Pacific States"	""	"RSP/2010/2851"	""	"B7-0022/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=0&key=0"	"0"	"2011-01-19"	"680"	"540"	"120"	"20"	
"2440"	"A7-0308/2011 - Pervenche Berès - Résolution législative"	"European Globalisation Adjustment Fund EGF (amend. Regulation (EC) No 1927/2006)"	"Employment and Social Affairs"	"COD/2011/0147"	"EMPL/7/06276"	"A7-0308/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=30&key=0"	"30"	"2011-09-29"	"574"	"498"	"63"	"13"	
"1481"	"A7-0025/2011 - Ria Oomen-Ruijten - § 1"	"Towards adequate, sustainable and safe European pension systems"	"Employment and Social Affairs"	"INI/2010/2239"	"EMPL/7/04202"	"A7-0025/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=612&key=0"	"612"	"2011-02-16"	"625"	"558"	"55"	"12"	
"1732"	"A7-0134/2011 - Jorgo Chatzimarkakis - Am 2"	"2009 discharge: EU general budget, Section III, Commission"	"Budgetary Control"	"DEC/2010/2142"	"CONT/7/03660"	"A7-0134/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=140&key=0"	"140"	"2011-05-10"	"653"	"478"	"157"	"18"	
