"Vote" "Order" "X" "Date" "Title" "Procedure" "Leg.NonLeg" "Policy.Area" "RCV" "Result" "Yaes" "Nays" "Abstentions" "Period" "ALDE" "EPP_ED" "SOC" "CoalAE" "CoalAS" "CoalES"
"19" 19 3 1 2004-10-14 "Information and promotion measures " "CNS *" "Leg" "Agriculture" "RCV" "+" "568" 17 10 "2004-09-01" 1 1 1 1 1 1
"20" 20 3 1 2004-10-14 "Ratification procedures of the Trea" "RSP" "Non" "Constitutional and inter-institutional affairs" "RCV" "+" "447" 107 54 "2004-09-01" 1 1 1 1 1 1
"21" 21 3 2 2004-10-14 "Ratification procedures of the Trea" "RSP" "Non" "Constitutional and inter-institutional affairs" "RCV" "-" "133" 435 47 "2004-09-01" 0 0 0 1 1 1
"22" 22 3 3 2004-10-14 "Ratification procedures of the Trea" "RSP" "Non" "Constitutional and inter-institutional affairs" "RCV" "+" "479" 110 35 "2004-09-01" 1 1 1 1 1 1
"23" 23 3 4 2004-10-14 "Ratification procedures of the Trea" "RSP" "Non" "Constitutional and inter-institutional affairs" "RCV" "+" "319" 271 31 "2004-09-01" 1 1 0 1 0 0
"24" 24 3 5 2004-10-14 "Ratification procedures of the Trea" "RSP" "Non" "Constitutional and inter-institutional affairs" "RCV" "-" "133" 453 30 "2004-09-01" 0 0 0 1 1 1
"25" 25 3 6 2004-10-14 "Ratification procedures of the Trea" "RSP" "Non" "Constitutional and inter-institutional affairs" "RCV" "+" "449" 141 36 "2004-09-01" 1 1 1 1 1 1
"26" 26 3 1 2004-10-14 "Future of the Area of Freedom, Secu" "INI" "Non" "Civil liberties, justice & home affairs" "RCV" "-" "265" 324 16 "2004-09-01" 0 0 1 1 0 0
"27" 27 3 2 2004-10-14 "Future of the Area of Freedom, Secu" "INI" "Non" "Civil liberties, justice & home affairs" "RCV" "-" "249" 343 19 "2004-09-01" 0 0 1 1 0 0
"28" 28 3 3 2004-10-14 "Future of the Area of Freedom, Secu" "INI" "Non" "Civil liberties, justice & home affairs" "RCV" "-" "263" 345 13 "2004-09-01" 0 0 1 1 0 0
"29" 29 3 1 2004-10-14 "Situation in Georgia" "RSP" "Non" "Foreign & security policy" "RCV" "+" "538" 31 22 "2004-09-01" 1 1 1 1 1 1
"30" 30 4 1 2004-10-26 "Control of certain diseases affecti" "CNS *" "Leg" "Juridical affairs" "RCV" "+" "625" 12 7 "2004-09-01" 1 1 1 1 1 1
"31" 31 4 1 2004-10-26 "ECB 2003 annual report" "INI" "Non" "Economics" "RCV" "-" "267" 367 26 "2004-09-01" 0 0 1 1 0 0
"32" 32 4 2 2004-10-26 "ECB 2003 annual report" "INI" "Non" "Economics" "RCV" "+" "412" 226 23 "2004-09-01" 1 1 0 1 0 0
"33" 33 4 3 2004-10-26 "ECB 2003 annual report" "INI" "Non" "Economics" "RCV" "+" "371" 278 18 "2004-09-01" 1 1 0 1 0 0
"34" 34 4 4 2004-10-26 "ECB 2003 annual report" "INI" "Non" "Economics" "RCV" "-" "231" 397 38 "2004-09-01" 0 0 1 1 0 0
"35" 35 4 5 2004-10-26 "ECB 2003 annual report" "INI" "Non" "Economics" "RCV" "+" "318" 280 66 "2004-09-01" 1 0 1 0 1 0
"36" 36 4 6 2004-10-26 "ECB 2003 annual report" "INI" "Non" "Economics" "RCV" "-" "228" 397 45 "2004-09-01" 0 0 1 1 0 0
"37" 37 4 7 2004-10-26 "ECB 2003 annual report" "INI" "Non" "Economics" "RCV" "+" "318" 299 45 "2004-09-01" 1 1 0 1 0 0
"38" 38 5 1 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "-" "121" 466 0 "2004-09-01" 0 0 0 1 1 1
"39" 39 5 2 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "+" "315" 205 12 "2004-09-01" 0 1 1 0 0 1
"40" 40 5 3 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "-" "172" 404 28 "2004-09-01" 0 0 0 1 1 1
"41" 41 5 4 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "+" "510" 50 45 "2004-09-01" 1 1 1 1 1 1
"42" 42 5 5 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "-" "81" 481 13 "2004-09-01" 0 0 0 1 1 1
"43" 43 5 6 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "-" "63" 509 8 "2004-09-01" 0 0 0 1 1 1
"44" 44 5 7 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "+" "484" 120 3 "2004-09-01" 1 1 1 1 1 1
"45" 45 5 8 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "-" "221" 363 5 "2004-09-01" 0 1 0 0 1 0
"46" 46 5 9 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "-" "53" 516 38 "2004-09-01" 0 0 0 1 1 1
"47" 47 5 10 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "-" "64" 524 6 "2004-09-01" 0 0 0 1 1 1
"48" 48 5 11 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "-" "81" 511 10 "2004-09-01" 0 0 0 1 1 1
"49" 49 5 12 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "+" "473" 114 3 "2004-09-01" 1 1 1 1 1 1
"50" 50 5 13 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "+" "451" 111 7 "2004-09-01" 1 1 1 1 1 1
"51" 51 5 14 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "+" "486" 114 5 "2004-09-01" 1 1 1 1 1 1
"52" 52 5 15 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "-" "101" 498 7 "2004-09-01" 1 0 0 0 0 1
"53" 53 5 16 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "-" "126" 460 15 "2004-09-01" 1 0 0 0 0 1
"54" 54 5 17 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "+" "530" 20 17 "2004-09-01" 1 1 1 1 1 1
"55" 55 5 18 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "+" "485" 70 10 "2004-09-01" 1 1 1 1 1 1
"56" 56 5 19 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "-" "90" 461 21 "2004-09-01" 0 0 0 1 1 1
"57" 57 5 20 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "+" "455" 101 6 "2004-09-01" 1 1 1 1 1 1
"58" 58 5 21 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "+" "438" 125 2 "2004-09-01" 0 1 1 0 0 1
"59" 59 5 22 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "-" "237" 319 10 "2004-09-01" 0 0 1 1 0 0
"60" 60 5 23 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "+" "462" 101 14 "2004-09-01" 1 1 1 1 1 1
"61" 61 5 24 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "+" "493" 67 8 "2004-09-01" 1 1 1 1 1 1
"62" 62 5 25 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "+" "493" 50 9 "2004-09-01" 1 1 1 1 1 1
"63" 63 5 26 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "+" "487" 65 9 "2004-09-01" 1 1 1 1 1 1
"64" 64 5 27 2004-10-28 "General budget of the European Unio" "BUD" "Bud" "Budget" "RCV" "+" "501" 53 5 "2004-09-01" 1 1 1 1 1 1
"65" 65 5 1 2004-10-28 "2005 draft general budget: section " "BUD" "Bud" "Budget" "RCV" "-" "91" 375 5 "2004-09-01" 0 0 0 1 1 1
"66" 66 5 1 2004-10-28 "2006 draft general budget: section " "BUD" "Bud" "Budget" "RCV" "-" "36" 486 4 "2004-09-01" 0 0 0 1 1 1
"67" 67 5 1 2004-10-28 "2007 draft general budget: section " "BUD" "Bud" "Budget" "RCV" "+" "431" 86 3 "2004-09-01" 1 1 1 1 1 1
"68" 68 5 1 2004-10-28 "2008 draft general budget: section " "BUD" "Bud" "Budget" "RCV" "+" "432" 91 5 "2004-09-01" 1 1 1 1 1 1
"69" 69 5 1 2004-10-28 "2009 draft general budget: section " "BUD" "Bud" "Budget" "RCV" "-" "256" 274 11 "2004-09-01" 0 1 0 0 1 0
"70" 70 5 1 2004-10-28 "2010 draft general budget: section " "BUD" "Bud" "Budget" "RCV" "+" "435" 92 5 "2004-09-01" 1 1 1 1 1 1
"71" 71 5 1 2004-10-28 "2011 draft general budget: section " "BUD" "Bud" "Budget" "RCV" "-" "79" 429 11 "2004-09-01" 0 0 0 1 1 1
"72" 72 5 1 2004-10-28 "2012 draft general budget: section " "BUD" "Bud" "Budget" "RCV" "+" "439" 94 7 "2004-09-01" 1 1 1 1 1 1
"73" 73 5 1 2004-10-28 "2005 draft general budget: other se" "BUD" "Bud" "Budget" "RCV" "+" "435" 45 32 "2004-09-01" 1 1 1 1 1 1
"74" 74 5 1 2004-10-28 "2006 draft general budget: other se" "BUD" "Bud" "Budget" "RCV" "+" "424" 90 8 "2004-09-01" 1 1 1 1 1 1
"75" 75 5 1 2004-10-28 "2007 draft general budget: other se" "BUD" "Bud" "Budget" "RCV" "-" "132" 366 23 "2004-09-01" 1 0 0 0 0 1
"76" 76 5 1 2004-10-28 "2008 draft general budget: other se" "BUD" "Bud" "Budget" "RCV" "+" "448" 70 4 "2004-09-01" 1 1 1 1 1 1
"77" 77 5 1 2004-10-28 "2009 draft general budget: other se" "BUD" "Bud" "Budget" "RCV" "+" "444" 65 4 "2004-09-01" 1 1 1 1 1 1
"78" 78 5 1 2004-10-28 "2010 draft general budget: other se" "BUD" "Bud" "Budget" "RCV" "+" "465" 57 2 "2004-09-01" 1 1 1 1 1 1
"79" 79 5 1 2004-10-28 "2011 draft general budget: other se" "BUD" "Bud" "Budget" "RCV" "+" "455" 66 6 "2004-09-01" 1 1 1 1 1 1
"80" 80 5 1 2004-10-28 "Result of the referendum and electi" "RSP" "Non" "Foreign & security policy" "RCV" "+" "449" 20 22 "2004-09-01" 1 1 1 1 1 1
"81" 81 5 1 2004-10-28 "Naval sonars" "RSP" "Non" "Environment & public health" "RCV" "-" "206" 259 15 "2004-09-01" 0 1 0 0 1 0
"82" 82 5 2 2004-10-28 "Naval sonars" "RSP" "Non" "Environment & public health" "RCV" "+" "441" 15 14 "2004-09-01" 1 1 1 1 1 1
"83" 83 5 1 2004-10-28 "Iran" "RSP" "Non" "Foreign & security policy" "RCV" "+" "105" 0 6 "2004-09-01" 1 1 1 1 1 1
"84" 84 6 1 2004-11-17 "Seed produced in third countries" "CNS *" "Leg" "Agriculture" "RCV" "+" "559" 15 4 "2004-09-01" 1 1 1 1 1 1
"85" 85 6 1 2004-11-17 "ARGO programme" "CNS *" "Leg" "Civil liberties, justice & home affairs" "RCV" "+" "572" 72 7 "2004-09-01" 1 1 1 1 1 1
"86" 86 6 1 2004-11-17 "Instrument of financial support (Cy" "CNS *" "Leg" "Foreign & security policy" "RCV" "+" "618" 39 24 "2004-09-01" 1 1 1 1 1 1
"87" 87 6 1 2004-11-17 "Arms exports" "INI" "Non" "Foreign & security policy" "RCV" "+" "400" 250 32 "2004-09-01" 1 1 0 1 0 0
"88" 88 6 1 2004-11-17 "ALTHEA mission in Bosnia and Herzeg" "RSP" "Non" "Foreign & security policy" "RCV" "+" "507" 75 102 "2004-09-01" 1 1 1 1 1 1
"89" 89 6 1 2004-11-17 "Climate change" "RSP" "Non" "Environment & public health" "RCV" "+" "639" 19 24 "2004-09-01" 1 1 1 1 1 1
"90" 90 6 2 2004-11-17 "Climate change" "RSP" "Non" "Environment & public health" "RCV" "+" "640" 22 21 "2004-09-01" 1 1 1 1 1 1
"91" 91 6 1 2004-11-17 "Situation in Cuba" "RSP" "Non" "Foreign & security policy" "RCV" "-" "252" 413 18 "2004-09-01" 0 0 1 1 0 0
"92" 92 6 2 2004-11-17 "Situation in Cuba" "RSP" "Non" "Foreign & security policy" "RCV" "-" "247" 400 35 "2004-09-01" 0 0 1 1 0 0
"93" 93 6 3 2004-11-17 "Situation in Cuba" "RSP" "Non" "Foreign & security policy" "RCV" "-" "240" 436 10 "2004-09-01" 0 0 1 1 0 0
"94" 94 6 4 2004-11-17 "Situation in Cuba" "RSP" "Non" "Foreign & security policy" "RCV" "-" "224" 434 22 "2004-09-01" 0 0 1 1 0 0
"95" 95 6 5 2004-11-17 "Situation in Cuba" "RSP" "Non" "Foreign & security policy" "RCV" "-" "260" 405 19 "2004-09-01" 0 0 1 1 0 0
"96" 96 6 6 2004-11-17 "Situation in Cuba" "RSP" "Non" "Foreign & security policy" "RCV" "-" "279" 391 16 "2004-09-01" 0 0 1 1 0 0
"97" 97 6 7 2004-11-17 "Situation in Cuba" "RSP" "Non" "Foreign & security policy" "RCV" "+" "376" 281 26 "2004-09-01" 1 1 0 1 0 0
"98" 98 6 1 2004-11-17 "European Council meeting (Brussels," "RSP" "Non" "Constitutional and inter-institutional affairs" "RCV" "-" "304" 360 15 "2004-09-01" 1 0 1 0 1 0
"99" 99 6 2 2004-11-17 "European Council meeting (Brussels," "RSP" "Non" "Constitutional and inter-institutional affairs" "RCV" "-" "244" 409 24 "2004-09-01" 0 0 1 1 0 0
"100" 100 6 3 2004-11-17 "European Council meeting (Brussels," "RSP" "Non" "Constitutional and inter-institutional affairs" "RCV" "+" "625" 23 25 "2004-09-01" 1 1 1 1 1 1
"101" 101 7 1 2004-11-18 "Election of the Commission" "NOM" "Non" "Constitutional and inter-institutional affairs" "RCV" "+" "478" 84 98 "2004-09-01" 1 1 1 1 1 1
"102" 102 7 2 2004-11-18 "Election of the Commission" "NOM" "Non" "Constitutional and inter-institutional affairs" "RCV" "+" "449" 149 82 "2004-09-01" 1 1 1 1 1 1
"103" 103 7 1 2004-11-18 "European Ombudsman - annual report " "INI" "Non" "Petitions" "RCV" "+" "530" 9 20 "2004-09-01" 1 1 1 1 1 1
"104" 104 7 1 2004-11-18 "Tibet (case of Tenzin Delek Rinpoch" "RSP" "Non" "Foreign & security policy" "RCV" "+" "104" 1 3 "2004-09-01" 1 1 1 1 1 1
"105" 105 8 1 2004-12-01 "Change to the agenda" "" "Non" "Internal regulations of the EP" "RCV" "-" "104" 130 22 "2004-09-01" 0 1 0 0 1 0
"106" 106 9 1 2004-12-02 "EC-Monaco Agreement (taxation of sa" "CNS" "Leg" "Economics" "RCV" "+" "449" 12 40 "2004-09-01" 1 1 1 1 1 1
"107" 107 9 1 2004-12-02 "EU citizens' passports" "CNS" "Leg" "Civil liberties, justice & home affairs" "RCV" "+" "471" 118 6 "2004-09-01" 1 1 1 1 1 1
"108" 108 9 1 2004-12-02 "Financial perspectives" "RSP" "Non" "Economics" "RCV" "-" "81" 500 11 "2004-09-01" 0 0 0 1 1 1
"109" 109 9 2 2004-12-02 "Financial perspectives" "RSP" "Non" "Economics" "RCV" "+" "499" 67 39 "2004-09-01" 1 1 1 1 1 1
"110" 110 10 1 2004-12-14 "Support for rural development" "CNS" "Leg" "Agriculture" "RCV" "+" "603" 20 16 "2004-09-01" 1 1 1 1 1 1
"111" 111 11 1 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "70" 593 36 "2004-09-01" 0 0 0 1 1 1
"112" 112 11 2 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "64" 608 28 "2004-09-01" 0 0 0 1 1 1
"113" 113 11 3 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "47" 625 25 "2004-09-01" 0 0 0 1 1 1
"114" 114 11 4 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "270" 393 34 "2004-09-01" 0 0 0 1 1 1
"115" 115 11 5 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "270" 375 50 "2004-09-01" 0 0 0 1 1 1
"116" 116 11 6 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "+" "360" 248 82 "2004-09-01" 0 0 1 1 0 0
"117" 117 11 7 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "192" 471 27 "2004-09-01" 0 0 0 1 1 1
"118" 118 11 8 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "103" 551 38 "2004-09-01" 0 0 0 1 1 1
"119" 119 11 9 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "235" 407 49 "2004-09-01" 0 1 0 0 1 0
"120" 120 11 10 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "+" "395" 213 78 "2004-09-01" 0 1 1 0 0 1
"121" 121 11 11 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "+" "332" 325 16 "2004-09-01" 0 1 0 0 1 0
"122" 122 11 12 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "272" 378 34 "2004-09-01" 0 1 0 0 1 0
"123" 123 11 13 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "129" 531 19 "2004-09-01" 0 0 0 1 1 1
"124" 124 11 14 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "128" 517 49 "2004-09-01" 0 0 0 1 1 1
"125" 125 11 15 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "165" 490 32 "2004-09-01" 0 0 0 1 1 1
"126" 126 11 16 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "85" 548 25 "2004-09-01" 0 0 0 1 1 1
"127" 127 11 17 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "108" 576 13 "2004-09-01" 0 0 0 1 1 1
"128" 128 11 18 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "+" "498" 137 38 "2004-09-01" 1 1 1 1 1 1
"129" 129 11 19 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "252" 407 34 "2004-09-01" 0 1 0 0 1 0
"130" 130 11 20 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "+" "481" 167 38 "2004-09-01" 0 1 1 0 0 1
"131" 131 11 21 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "225" 447 17 "2004-09-01" 0 1 0 0 1 0
"132" 132 11 22 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "68" 606 9 "2004-09-01" 0 0 0 1 1 1
"133" 133 11 23 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "76" 594 16 "2004-09-01" 0 0 0 1 1 1
"134" 134 11 24 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "227" 451 13 "2004-09-01" 0 1 0 0 1 0
"135" 135 11 25 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "210" 438 33 "2004-09-01" 0 0 0 1 1 1
"136" 136 11 26 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "199" 455 25 "2004-09-01" 0 1 0 0 1 0
"137" 137 11 27 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "87" 588 20 "2004-09-01" 0 0 0 1 1 1
"138" 138 11 28 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "230" 446 19 "2004-09-01" 0 1 0 0 1 0
"139" 139 11 29 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "155" 514 24 "2004-09-01" 0 0 0 1 1 1
"140" 140 11 30 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "72" 578 40 "2004-09-01" 0 0 0 1 1 1
"141" 141 11 31 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "175" 486 28 "2004-09-01" 0 0 0 1 1 1
"142" 142 11 32 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "165" 489 38 "2004-09-01" 0 1 0 0 1 0
"143" 143 11 33 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "217" 436 36 "2004-09-01" 0 1 0 0 1 0
"144" 144 11 34 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "234" 436 18 "2004-09-01" 0 1 0 0 1 0
"145" 145 11 35 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "177" 497 22 "2004-09-01" 0 0 0 1 1 1
"146" 146 11 36 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "240" 432 20 "2004-09-01" 0 1 0 0 1 0
"147" 147 11 37 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "243" 408 41 "2004-09-01" 0 1 0 0 1 0
"148" 148 11 38 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "258" 409 28 "2004-09-01" 0 1 0 0 1 0
"149" 149 11 39 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "+" "456" 192 44 "2004-09-01" 0 0 1 1 0 0
"150" 150 11 40 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "158" 450 85 "2004-09-01" 0 0 0 1 1 1
"151" 151 11 41 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "+" "470" 198 24 "2004-09-01" 0 1 1 0 0 1
"152" 152 11 42 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "244" 420 27 "2004-09-01" 0 1 0 0 1 0
"153" 153 11 43 2004-12-15 "Turkey's progress towards accession" "INI" "Non" "Foreign & security policy" "RCV" "-" "122" 520 33 "2004-09-01" 0 0 0 1 1 1
"154" 154 11 1 2004-12-15 "EU-Russia Summit" "RSP" "Non" "Foreign & security policy" "RCV" "+" "547" 30 10 "2004-09-01" 1 1 1 1 1 1
"155" 155 11 1 2004-12-15 "Asylum procedure and protection in " "INI" "Non" "Civil liberties, justice & home affairs" "RCV" "+" "499" 104 11 "2004-09-01" 1 1 1 1 1 1
"156" 156 11 2 2004-12-15 "Asylum procedure and protection in " "INI" "Non" "Civil liberties, justice & home affairs" "RCV" "+" "312" 289 15 "2004-09-01" 1 0 1 0 1 0
"157" 157 11 3 2004-12-15 "Asylum procedure and protection in " "INI" "Non" "Civil liberties, justice & home affairs" "RCV" "+" "316" 281 15 "2004-09-01" 1 0 1 0 1 0
"158" 158 11 1 2004-12-15 "EU drugs strategy (2005-2012)" "INI" "Non" "Civil liberties, justice & home affairs" "RCV" "-" "253" 301 14 "2004-09-01" 0 1 0 0 1 0
"159" 159 11 2 2004-12-15 "EU drugs strategy (2005-2012)" "INI" "Non" "Civil liberties, justice & home affairs" "RCV" "+" "517" 50 17 "2004-09-01" 1 1 1 1 1 1
"160" 160 11 3 2004-12-15 "EU drugs strategy (2005-2012)" "INI" "Non" "Civil liberties, justice & home affairs" "RCV" "+" "526" 28 18 "2004-09-01" 1 1 1 1 1 1
"161" 161 11 4 2004-12-15 "EU drugs strategy (2005-2012)" "INI" "Non" "Civil liberties, justice & home affairs" "RCV" "+" "284" 280 12 "2004-09-01" 1 0 1 0 1 0
"162" 162 11 5 2004-12-15 "EU drugs strategy (2005-2012)" "INI" "Non" "Civil liberties, justice & home affairs" "RCV" "-" "112" 462 16 "2004-09-01" 1 0 0 0 0 1
"163" 163 11 6 2004-12-15 "EU drugs strategy (2005-2012)" "INI" "Non" "Civil liberties, justice & home affairs" "RCV" "+" "489" 62 10 "2004-09-01" 1 1 1 1 1 1
